material_id	material	brand_owner_id	brand_owner	brand_id	brand	subbrand_id	subbrand	subgroup_id	subgroup	pack_type_id	pact_type	pack_size_id	pack_size	pack_empty_id	pack_empty	category_id	category	line_id	line	subline_id	subline	product_id	product
B9VBB	PL MONTES FILUFERRU 70x1	0529	RAU	1054	MONTES	0853	PRIVATE LABEL	0016	GRAPPA	0003	VAP	0070	CL  70	241	PRIVATE LABEL SPIRIT	500	SPIRITS	526	SPIRITS PL	520	GRAPPE	0044	varie
B9VBC	PL MONTES LIMONCELLO 70x1	059	CONCILIO SPA	1054	MONTES	0853	PRIVATE LABEL	0200	LIMONCINO	0003	VAP	0070	CL  70	241	PRIVATE LABEL SPIRIT	500	SPIRITS	522	SPIRITS PL	520	LIMONCINI	0044	varie
B9VBD	PL MONTES MIRTO R SARD IG 70x1	0529	RAU	1054	MONTES	0853	PRIVATE LABEL	0087	LIQUORE DOLCE	0003	VAP	0070	CL  70	241	PRIVATE LABEL SPIRIT	500	SPIRITS	52F	SPIRITS PL	520	LIQUORI ALTRI	0044	varie
B9VBE	BAP 7 Luppoli NON FILTRATA 24bt 33cl	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VBF	BAP 7 NON FILT INV MODULAR 20 fusto 20 L	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VBH	BAP 7 La Fiorita 24bt 33clx3	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VBI	BAP 7 Luppoli La Fiorita SELECT 10 fs10L	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0010	SEL 10	0021	LT   10	222	SEL 10	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VBK	BAP 7 Luppoli La Fiorita MODULAR 20 fs20	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VBN	TUBORG Select 10 fusto 10L	0440	CARLSBERG	0647	TUBORG	0620	TUBORG	9001	CI-LAGER	0010	SEL 10	0021	LT   10	222	SEL 10	200	BIRRA	232	BIRRA FS GRUPPO CI	230	BIRRA TUBORG FS	0052	DANESI
B9VBO	CARLSBERG PET 24 bt 33cl	0440	CARLSBERG	0701	CARLSBERG	0672	CARLSBERG	9001	CI-LAGER	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	221	BIRRA CONF. CI	220	BIRRA CARLSBERG CF	0052	DANESI
B9VBQ	TUCHER FESTBIER MODULAR 20 fusto 20L	0440	CARLSBERG	0237	TUCHER	1052	TUCHER FESTBIER	9001	CI-LAGER	0016	MOD 20	0008	LT   20	225	Fs ACEII Birra Lager	200	BIRRA	237	BIRRA FS GRUPPO CI	230	BIRRA TUCHER FS	0053	TEDESCHE
B9VBR	BAP 7 La Mielizia 24bt 33clx3	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VBS	BAP 7 Luppoli LA MIELIZIA SELECT 10 fs10	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0010	SEL 10	0021	LT   10	222	SEL 10	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VBT	BAP 7 Luppoli LA MIELIZIA MODULAR 20 fs	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VBU	TUCHER UBERSEE TANK 500 L	0440	CARLSBERG	0237	TUCHER	1029	TUCHER UBERSEE	9001	CI-LAGER	0005	TANK	0065	LT  500	230	Tank	200	BIRRA	237	BIRRA FS GRUPPO CI	230	BIRRA TUCHER FS	0053	TEDESCHE
